Family;Group;Language;Location;Altitude;Longitude
Mayan;K'ichean;Tz'utujil;Chicacao;14.542846;-91.328847
Mayan;K'ichean;Poqomam;Mixco;14.633056;-90.606389
Mayan;K'ichean;Poqomam;Palín;14.403889;-90.698611
Mayan;K'ichean;Poqomam;Chinautla;14.7;-90.5
Mayan;K'ichean;Poqomam;San Juan Ermita;14.766667;-89.433333
Mayan;K'ichean;Poqomam;San Luis Jilotepeque;14.65;-89.733333
Mayan;K'ichean;Poqomam;San Carlos Alzatate;14.5;-90.066667
Mayan;K'ichean;Poqomam;San Pedro Pinula;14.666667;-89.85
Mayan;K'ichean;Poqomam;Mataquescuintla;14.533639;-90.183806
Mayan;K'ichean;Poqomam;Palín;14.403889;-90.698611
Mayan;K'ichean;Poqomchi';Purulhá;15.266667;-90.2
Mayan;K'ichean;Poqomchi';Chicamán;15.348333;-90.799444
Mayan;K'ichean;Poqomchi';San Miguel Tucurú;15.3;-90.066667
Mayan;K'ichean;Poqomchi';Tamahú;15.306944;-90.234167
Mayan;K'ichean;Poqomchi';Tactic;15.316667;-90.351111
Mayan;K'ichean;Poqomchi';San Cristóbal Verapaz;15.365;-90.479167
Mayan;K'ichean;Poqomchi';Santa Cruz Verapaz;15.373611;-90.430556
Mayan;K'ichean;Poqomchi';La Tinta;15.3;-89.916667
Mayan;K'ichean;Poqomchi';Chahal;15.75;-89.566667
Mayan;K'ichean;Poqomchi';Chisec;15.8125;-90.321667
Mayan;K'ichean;Poqomchi';Fray Bartolomé de las Casas;15.845556;-89.865833
Mayan;K'ichean;Poqomchi';Panzós;15.398611;-89.640833
Mayan;K'ichean;Poqomchi';San Juan Chamelco;15.425675;-90.326285
Mayan;K'ichean;Poqomchi';San Pedro Carchá;15.476801;-90.312037
Mayan;K'ichean;Poqomchi';Cahabón;15.605556;-89.8125
Mayan;K'ichean;Poqomchi';Cobán;15.463855;-90.385174
Mayan;K'ichean;Poqomchi';Salamá;15.103333;-90.266667
Mayan;K'ichean;Poqomchi';Ixcán;15.988056;-90.781667
Mayan;K'ichean;Poqomchi';Los Amates;15.266667;-89.1
Mayan;K'ichean;Kekchi;San Juan Bautista;14.416667;-91.183333
Mayan;K'ichean;Kekchi;Santa Ana;16.8069;-89.8272
Mayan;K'ichean;Kekchi;Santa Cruz el Chol;14.961111;-90.487778
Mayan;K'ichean;Kekchi;Salamá;15.103333;-90.266667
Mayan;K'ichean;Kekchi;San Miguel Tucurú;15.3;-90.066667
Mayan;K'ichean;Kekchi;Puerto Barrios;15.73;-88.6
Mayan;K'ichean;Kekchi;Tamahú;15.306944;-90.234167
Mayan;K'ichean;Kekchi;Tactic;15.316667;-90.351111
Mayan;K'ichean;Kekchi;La Tinta;15.3;-89.916667
Mayan;K'ichean;Kekchi;San Cristóbal Verapaz;15.365;-90.479167
Mayan;K'ichean;Kekchi;Chahal;15.75;-89.566667
Mayan;K'ichean;Kekchi;Chisec;15.8125;-90.321667
Mayan;K'ichean;Kekchi;San Bernardino;14.533333;-91.45
Mayan;K'ichean;Kekchi;Cobán;15.463855;-90.385174
Mayan;K'ichean;Kekchi;Fray Bartolomé de las Casas;15.845556;-89.865833
Mayan;K'ichean;Kekchi;Lanquín;15.575833;-89.981111
Mayan;K'ichean;Kekchi;Panzós;15.398611;-89.640833
Mayan;K'ichean;Kekchi;San Juan Chamelco;15.425675;-90.326285
Mayan;K'ichean;Kekchi;San Pedro Carchá;15.476801;-90.312037
Mayan;K'ichean;Kekchi;Santa María Cahabón;15.605556;-89.8125
Mayan;K'ichean;Kekchi;Senahú;15.416389;-89.820278
Mayan;K'ichean;Kekchi;Chicamán;15.348333;-90.799444
Mayan;K'ichean;Kekchi;Purulhá;15.266667;-90.2
Mayan;K'ichean;Kekchi;La Libertad;15.5;-91.8333
Mayan;K'ichean;Kekchi;Poptún;16.322222;-89.422222
Mayan;K'ichean;Kekchi;San Luis;16.198889;-89.440278
Mayan;K'ichean;Kekchi;Sayaxché;16.516667;-90.183333
Mayan;K'ichean;Kekchi;Ixcán;15.988056;-90.781667
Mayan;K'ichean;Kekchi;Playa Grande;15.988056;-90.781667
Mayan;K'ichean;Kekchi;Uspantán;15.345833;-90.869444
Mayan;K'ichean;Kekchi;El Estor;15.533333;-89.35
Mayan;K'ichean;Kekchi;Livingston;15.83;-88.75
Mayan;K'ichean;Kekchi;Raxruhá;15.866551;-90.042422
Mayan;K'ichean;Kekchi;Morales;15.4725;-88.84138
Mayan;K'ichean;Kekchi;Santa Cruz Verapaz;15.373611;-90.430556
Mayan;K'ichean;Kekchi;Dolores;16.514167;-89.415833
Mayan;K'ichean;Kekchi;San Benito;16.916667;-89.9
Mayan;K'ichean;Kekchi;San Andrés;16.9675;-89.910278
Mayan;K'ichean;Kekchi;San Francisco;16.801667;-89.934167
Mayan;K'ichean;Kekchi;San José;16.983625;-89.900997
Mayan;K'ichean;Kekchi;Flores;16.933333;-89.883333
Mayan;K'ichean;Kekchi;Momostenango;15.044444;-91.408333
Mayan;K'ichean;Kekchi;Samayac;14.582111;-91.460991
Mayan;K'ichean;Uspanteco;Chicamán;15.348333;-90.799444
Mayan;K'ichean;Uspanteco;Playa Grande;15.988056;-90.781667
Mayan;K'ichean;Uspanteco;Uspantán;15.345833;-90.869444
Mayan;Mamean;Ixil;Chajul;15.487222;-91.034722
Mayan;Mamean;Ixil;San Juan Cotzal;15.435278;-91.035556
Mayan;Mamean;Ixil;Santa María Nebaj;15.408333;-91.147222
Mayan;Mamean;Ixil;Uspantán;15.345833;-90.869444
Mayan;Mamean;Tektiteko;Cuilco;15.407847;-91.947188
Mayan;Mamean;Tektiteko;Tectitán;15.307334;-92.061005
Mayan;Mamean;Aguacateco;Aguacatán;15.342949;-91.311982
Mayan;Mamean;Mam;Quetzaltenango;14.844444;-91.501389
Mayan;Mamean;Mam;Concepción Huista;15.6167;-91.6833
Mayan;Mamean;Mam;San Miguel Sigüilá;14.9;-91.616667
Mayan;Mamean;Mam;Concepción Chiquirichapa;14.85;-91.616667
Mayan;Mamean;Mam;Génova;14.616667;-91.833333
Mayan;Mamean;Mam;El Palmar;14.65;-91.5833
Mayan;Mamean;Mam;San Juan Ostuncalco;14.869339;-91.621084
Mayan;Mamean;Mam;Cajolá;14.925182;-91.615982
Mayan;Mamean;Mam;San Martín Sacatepéquez;14.824621;-91.642499
Mayan;Mamean;Mam;Colomba Costa Cuca;14.716667;-91.733333
Mayan;Mamean;Mam;Flores Costa Cuca;14.65;-91.816667
Mayan;Mamean;Mam;Huitán;15.048611;-91.64
Mayan;Mamean;Mam;Palestina de los Altos;14.933333;-91.699972
Mayan;Mamean;Mam;Cabricán;15.076808;-91.64996
Mayan;Mamean;Mam;San Ildefonso Ixtahuacán;15.416667;-91.766667
Mayan;Mamean;Mam;Cuilco;15.407847;-91.947188
Mayan;Mamean;Mam;Tectitán;15.307334;-92.061005
Mayan;Mamean;Mam;San Pedro Nécta;15.5;-91.766667
Mayan;Mamean;Mam;San Sebastián Huehuetenango;15.383333;-91.583333
